status,venue_type,venue,city,region,category,price_low,price_high,price_per_guest_low,price_per_guest_high,price_basis,bar_included,confidence,notes,source_urls,date_sourced
Sourced,All-Inclusive Package,Temecula Creek Inn - The Meadows,Temecula,Riverside / Wine Country,Resort / Inn,19000,22925,190,229,100 guests,Ambiguous,Medium,"Bar pricing interpolated from their own published hourly rates, landed almost exactly on Coyote Hills' own $39/guest rate - good independent sanity check on regional bar pricing.",,2026-08-28
Sourced,Ceremony Only,Santa Barbara County Courthouse - Sunken Garden,Santa Barbara,Central Coast,Courthouse Garden,1427,1427,,,"flat total, not per-guest",Not applicable - ceremony only,Confirmed,"$1,200 facility fee (3-hr window, incl. $200 non-refundable application fee) + $100 marriage license + $104 ceremony fee + $23 license appointment fee. Up to 250 guests capacity. ~2.5 hrs from Fullerton - would require a fully separate reception venue and likely overnight stay for guests.",,2026-08-28
Sourced,Ceremony Only,Wayfarers Chapel,Rancho Palos Verdes,LA County,Chapel,5600,6600,,,"flat total incl. $200 reservation fee, not per-guest",Not applicable - ceremony only,Confirmed,"$6,400 (Fri-Sun) / $5,400 (Mon-Thu) + $200 non-refundable reservation fee. Iconic glass-and-redwood chapel overlooking the Pacific. ~45 min from Fullerton. No reception space on site.",,2026-08-28
Sourced,Ceremony Only,"OC Public Beach / Park Ceremony (Laguna Beach, Newport Beach, etc.)",Laguna Beach / Newport Beach,Orange County,Beach / Park,100,500,,,"flat permit fee, not per-guest",Not applicable - ceremony only,Confirmed,"Cheapest ceremony option researched by far. Permit fee only - couple supplies own chairs, arch/decor, officiant, and sound. Weather-dependent, no reception space.",,2026-08-28
Not Sourced,Ceremony Only,Self-Realization Fellowship Lake Shrine,Pacific Palisades,LA County,Meditation Garden / Lake,,,,,,,,"Serene lake/garden setting, ~1 hr from Fullerton. Fee schedule not published online - call (310) 454-4114 for ceremony pricing.",,2026-08-28
Sourced,Reception Only,NOVA Kitchen & Bar,Garden Grove,Orange County,Restaurant Buyout,,,,,pricing not public - request quote,Presumably included (full-service restaurant),Low,"Asian-fusion fine dining, full buyout accommodates up to ~140-350 across combined private rooms (Metal Room alone seats 140). Curated prix-fixe wedding packages offered but pricing not public - email info@novaoc.com or call (201) 300-5312. No ceremony space.",,2026-08-28
Sourced,Reception Only,The Majestic Downtown,Los Angeles,LA County,Historic Ballroom (DIY),10000,20000,,,"venue rental only ($10k Mon-Thu / $15k Fri+Sun / $20k Sat); + $15/guest outside-catering buyout + $20/guest outside-bar buyout on top",Not included - $20/guest outside-bar buyout on top of rental,Confirmed,"Rental fee is venue-only. At 100 guests this stacks fast: rental + $3,500 in buyout fees alone, before a single dollar of food or drink. Good example of how 'DIY venue' pricing can exceed an all-inclusive package once every line item is sourced separately.",,2026-08-28
Sourced,Reception Only,Esters Wine Shop & Bar,Santa Monica,LA County,Restaurant Buyout,8000,8000,497,497,"caps at 50 guests - does not fit 100-guest wedding",Unconfirmed if bar is separate,Confirmed (but too small),"Caps at 50 seated guests - does not fit a 100-guest wedding without a second location or standing-room overflow. Included as a data point on restaurant-buyout pricing, not a viable candidate at this guest count.",,2026-08-28
Not Sourced,All-Inclusive Package,Aliso Viejo Center by Wedgewood Weddings,Aliso Viejo,Orange County,All-Inclusive Chain,,,,,,,,Identified in Wedgewood venue list - no pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,San Clemente Shore by Wedgewood Weddings,San Clemente,Orange County,All-Inclusive Chain / Coastal,,,,,,,,Identified in Wedgewood venue list - no pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,The Sanctuary by Wedgewood Weddings,Long Beach,LA County,All-Inclusive Chain,,,,,,,,Identified in Wedgewood venue list - no pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Fallbrook Estate by Wedgewood Weddings,Fallbrook (near Temecula),San Diego County,Estate / Winery-adjacent,,,,,,,,Golf-course-adjacent list mention. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,The Estate OC,Orange County,Orange County,Estate,,,,,,,,Surfaced in Zola listing. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Canyon Crest Country Club,Riverside,Inland Empire,Country Club,,,,,,,,"Up to 300 guests, lake + fountain feature. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Indian Hills by Wedgewood Weddings,Riverside,Inland Empire,All-Inclusive Chain,,,,,,,,Hilltop venue. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Garden Villa,Inland Empire,Inland Empire,Garden / Resort-style,,,,,,,,Described as resort-like all-inclusive. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Tukwet Canyon,Beaumont,Inland Empire,Golf Course,,,,,,,,"Golf course, ~90 min from most SoCal points. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Boulder Oaks Golf Club,Alpine,San Diego County,Golf Course,,,,,,,,Century-old oak trees on site. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Twin Oaks House & Gardens by Wedgewood Weddings,San Marcos,San Diego County,All-Inclusive Chain / Garden,,,,,,,,"Century-old charm, all-inclusive per Wedgewood model. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Pala Mesa Golf Resort,Fallbrook,San Diego County,Golf Course / Resort,,,,,,,,Clubhouse fully renovated late 2025. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,The Arroyo Terrace,La Jolla (near Torrey Pines),San Diego County,Garden Terrace,,,,,,,,"Up to 200 guests, adjacent to Torrey Pines Golf Course's 18th green. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Paradise Point Resort & Spa,San Diego (Mission Bay),San Diego County,Resort,,,,,,,,22-acre waterfront resort. Likely pricier hotel-resort tier. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Mt. Woodson Castle,Ramona,San Diego County,Castle / Estate,,,,,,,,"Private castle setting, likely smaller/intimate focus. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Lombardi House,Near Pasadena,LA County,Historic House / Garden,,,,,,,,"Up to 150 guests, curated rentals + bar + coordination bundled per listing copy. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,Rolling Hills Country Club,Palos Verdes,LA County,Country Club,,,,,,,,No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Wilshire Country Club,Los Angeles,LA County,Country Club,,,,,,,,Founded 1919. Likely premium pricing given LA-core location. No pricing pulled yet.,,2026-08-28
Not Sourced,All-Inclusive Package,Calamigos Ranch,Malibu,LA County,Ranch,,,,,,,,"250-acre ranch, four ceremony/reception sites. Likely well above baseline on price given Malibu location - lower priority unless budget flexible upward.",,2026-08-28
Not Sourced,All-Inclusive Package,Platinum Banquet Hall,Los Angeles,LA County,Banquet Hall,,,,,,,,"Up to 300 guests, in-house catering/decor. No pricing pulled yet.",,2026-08-28
Not Sourced,All-Inclusive Package,The Beverly Hilton,Beverly Hills,LA County,Hotel Ballroom,,,,,,,,Likely well above baseline - hotel ballroom tier. Lowest priority to chase unless budget flexible upward.,,2026-08-28
Not Sourced,Ceremony Only,Franklin Canyon Park,Beverly Hills / Santa Monica Mountains,LA County,Park / Nature,,,,,,,,Commonly cited budget nature ceremony spot. No pricing pulled yet.,,2026-08-28
Not Sourced,Ceremony Only,Mission San Juan Capistrano,San Juan Capistrano,Orange County,Historic Mission Garden,,,,,,,,"Historic mission gardens, popular OC ceremony backdrop. No pricing pulled yet.",,2026-08-28
Not Sourced,Reception Only,"Restaurant private-dining buyouts (general - DTLA / Arts District)",Los Angeles,LA County,Restaurant Buyout,5500,5500,,,reported avg. minimum spend - not a specific venue,Varies by venue,Low,"Broad category, not a specific venue - industry-reported average minimum spend for restaurant buyouts in the area. Worth a targeted search once a specific neighborhood/cuisine is chosen.",,2026-08-28
